TeamName,Season,xG_Season,Goles_Season,Points
Villarreal CF,2017-2018,52.1,57,61
Villarreal CF,2018-2019,50.5,49,44
Valencia CF,2017-2018,55.9,65,73
Valencia CF,2018-2019,57.3,51,61
UD Las Palmas,2017-2018,37.8,24,22
Sevilla FC,2017-2018,56.9,49,58
Sevilla FC,2018-2019,63.6,62,59
SD Huesca,2018-2019,46,43,33
SD Eibar,2017-2018,40.1,44,51
SD Eibar,2018-2019,50.7,46,47
Real Valladolid,2018-2019,40.5,32,41
Real Sociedad,2017-2018,54.9,66,49
Real Sociedad,2018-2019,46.6,45,50
Real Madrid CF,2017-2018,83.4,94,76
Real Madrid CF,2018-2019,61.7,63,68
Real Betis,2017-2018,41,60,60
Real Betis,2018-2019,48.9,44,50
RCD Espanyol,2017-2018,42.9,36,49
RCD Espanyol,2018-2019,48.7,48,53
Rayo Vallecano,2018-2019,41.1,41,32
Málaga CF,2017-2018,33.3,24,20
Levante UD,2017-2018,42.2,44,46
Levante UD,2018-2019,49.9,59,44
Girona FC,2017-2018,48.7,50,51
Girona FC,2018-2019,38.6,37,37
Getafe CF,2017-2018,46.5,42,55
Getafe CF,2018-2019,44.8,48,59
FC Barcelona,2017-2018,78.4,99,93
FC Barcelona,2018-2019,73.6,90,87
Deportivo de La Coruña,2017-2018,49.1,38,29
Deportivo Alavés,2017-2018,38.9,40,47
Deportivo Alavés,2018-2019,37.3,39,50
Celta de Vigo,2017-2018,51.7,59,49
Celta de Vigo,2018-2019,44.7,53,41
CD Leganés,2017-2018,39.8,34,43
CD Leganés,2018-2019,37.4,37,45
Atlético Madrid,2017-2018,47.6,58,79
Atlético Madrid,2018-2019,45.9,55,76
Athletic Club,2017-2018,45.4,41,43
Athletic Club,2018-2019,40.1,41,53
